,White,Black,Native_American,Asian,Pacific_Islander,Other,2_or_More,HispanicLatino,Total,NAME,county,state,API
52,34466.0,1641.0,21.0,255.0,0.0,334.0,561.0,1602.0,37278,"Livingston County, Illinois",105,17,255.0
53,24020.0,3056.0,96.0,179.0,14.0,520.0,1935.0,995.0,29820,"Logan County, Illinois",107,17,193.0
54,28665.0,1709.0,48.0,642.0,19.0,105.0,539.0,847.0,31727,"McDonough County, Illinois",109,17,661.0
55,283564.0,4007.0,268.0,8191.0,97.0,5177.0,5779.0,37727.0,307083,"McHenry County, Illinois",111,17,8288.0
56,144534.0,14247.0,243.0,8550.0,38.0,1751.0,3891.0,8107.0,173254,"McLean County, Illinois",113,17,8588.0
57,84943.0,15319.0,288.0,1274.0,2.0,548.0,6030.0,2285.0,108404,"Macon County, Illinois",115,17,1276.0
58,45088.0,254.0,56.0,224.0,9.0,80.0,771.0,486.0,46482,"Macoupin County, Illinois",117,17,233.0
59,235054.0,22009.0,544.0,2404.0,89.0,1017.0,5642.0,8133.0,266759,"Madison County, Illinois",119,17,2493.0
60,35800.0,1354.0,71.0,327.0,0.0,194.0,757.0,687.0,38503,"Marion County, Illinois",121,17,327.0
61,11718.0,44.0,31.0,43.0,5.0,77.0,142.0,370.0,12060,"Marshall County, Illinois",123,17,48.0
62,13610.0,104.0,10.0,60.0,9.0,2.0,136.0,140.0,13931,"Mason County, Illinois",125,17,69.0
63,13541.0,955.0,9.0,62.0,0.0,23.0,293.0,381.0,14883,"Massac County, Illinois",127,17,62.0
64,12227.0,87.0,30.0,56.0,28.0,22.0,126.0,173.0,12576,"Menard County, Illinois",129,17,84.0
65,15583.0,87.0,13.0,47.0,0.0,67.0,174.0,336.0,15971,"Mercer County, Illinois",131,17,47.0
66,32907.0,99.0,17.0,377.0,0.0,21.0,282.0,495.0,33703,"Monroe County, Illinois",133,17,377.0
67,26345.0,2347.0,53.0,79.0,11.0,93.0,373.0,498.0,29301,"Montgomery County, Illinois",135,17,90.0
68,31708.0,2067.0,19.0,212.0,0.0,59.0,736.0,795.0,34801,"Morgan County, Illinois",137,17,212.0
69,14656.0,54.0,25.0,18.0,0.0,20.0,142.0,170.0,14915,"Moultrie County, Illinois",139,17,18.0
70,49110.0,540.0,59.0,217.0,2.0,1201.0,905.0,4990.0,52034,"Ogle County, Illinois",141,17,219.0
71,137377.0,32531.0,579.0,7027.0,15.0,2709.0,6580.0,8356.0,186818,"Peoria County, Illinois",143,17,7042.0
72,19236.0,1823.0,27.0,123.0,0.0,38.0,348.0,638.0,21595,"Perry County, Illinois",145,17,123.0
73,16036.0,65.0,5.0,76.0,0.0,15.0,272.0,207.0,16469,"Piatt County, Illinois",147,17,76.0
74,15531.0,208.0,98.0,53.0,0.0,12.0,152.0,202.0,16054,"Pike County, Illinois",149,17,53.0
75,3915.0,206.0,13.0,47.0,0.0,35.0,39.0,84.0,4255,"Pope County, Illinois",151,17,47.0
76,3763.0,1808.0,14.0,14.0,0.0,37.0,156.0,113.0,5792,"Pulaski County, Illinois",153,17,14.0
77,5595.0,20.0,0.0,21.0,0.0,25.0,85.0,287.0,5746,"Putnam County, Illinois",155,17,21.0
78,28765.0,3456.0,52.0,111.0,0.0,161.0,389.0,984.0,32934,"Randolph County, Illinois",157,17,111.0
79,15604.0,91.0,68.0,105.0,0.0,7.0,197.0,245.0,16072,"Richland County, Illinois",159,17,105.0
