,Male_16_white,Male_64_white,Female_16_white,Female_64_white,NAME,county,state,LF_White,Male_16_black,Male_64_black,Female_16_black,Female_64_black,LF_Black,Male_16_NA,Male_64_NA,Female_16_NA,Female_64_NA,LF_NA,Male_16_A,Male_64_A,Female_16_A,Female_64_A,Male_16_PI,Male_64_PI,Female_16_PI,Female_64_PI,LF_API,Male_16_other,Male_64_other,Female_16_other,Female_64_other,LF_Other,Male_16_2,Male_64_2,Female_16_2,Female_64_2,LF_2,Male_16_hispanic,Male_64_hispanic,Female_16_hispanic,Female_64_hispanic,LF_Hispanic,LF_Total,White,Black,Native_American,Asian,Pacific_Islander,Other,2_or_More,HispanicLatino,Total,API
12,3289.0,152.0,2976.0,132.0,"Clay County, Illinois",025,17,6549.0,12.0,0.0,15.0,0.0,27.0,3.0,0.0,4.0,0.0,7.0,17.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,15.0,0.0,51.0,66.0,0.0,71.0,0.0,137.0,6659.0,13173.0,84.0,22.0,37.0,0.0,0.0,150.0,182.0,13466,37.0
13,9176.0,512.0,9051.0,377.0,"Clinton County, Illinois",027,17,19116.0,141.0,4.0,34.0,0.0,179.0,22.0,0.0,6.0,2.0,30.0,51.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,128.0,99.0,3.0,38.0,0.0,140.0,101.0,0.0,79.0,0.0,180.0,185.0,11.0,205.0,0.0,401.0,19773.0,35539.0,1283.0,96.0,213.0,0.0,204.0,523.0,1154.0,37858,213.0
14,12237.0,515.0,12122.0,425.0,"Coles County, Illinois",029,17,25299.0,407.0,0.0,442.0,3.0,852.0,18.0,0.0,37.0,12.0,67.0,135.0,0.0,173.0,0.0,92.0,0.0,8.0,0.0,408.0,34.0,0.0,35.0,0.0,69.0,128.0,10.0,136.0,0.0,274.0,325.0,0.0,329.0,0.0,654.0,26969.0,49104.0,1940.0,120.0,595.0,106.0,92.0,845.0,1224.0,52802,701.0
15,842895.0,44522.0,731219.0,38752.0,"Cook County, Illinois",031,17,1657388.0,249853.0,9010.0,313569.0,12086.0,584518.0,4056.0,145.0,3125.0,142.0,7468.0,98854.0,4347.0,89838.0,4106.0,620.0,21.0,482.0,0.0,198268.0,152133.0,2005.0,106440.0,1349.0,261927.0,24495.0,606.0,24287.0,609.0,49997.0,363055.0,6381.0,268124.0,4308.0,641868.0,2759566.0,2965530.0,1248948.0,14296.0,357845.0,1810.0,515138.0,124008.0,1300843.0,5227575,359655.0
16,4266.0,288.0,3776.0,245.0,"Crawford County, Illinois",033,17,8575.0,24.0,0.0,29.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,19.0,0.0,0.0,0.0,8.0,0.0,61.0,0.0,0.0,5.0,0.0,5.0,54.0,0.0,116.0,0.0,170.0,27.0,0.0,21.0,1.0,49.0,8864.0,18055.0,818.0,16.0,71.0,22.0,37.0,422.0,415.0,19441,93.0
17,2736.0,38.0,2255.0,108.0,"Cumberland County, Illinois",035,17,5137.0,0.0,0.0,3.0,0.0,3.0,17.0,0.0,0.0,0.0,17.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,16.0,0.0,42.0,27.0,0.0,21.0,13.0,61.0,5207.0,10709.0,20.0,31.0,35.0,18.0,0.0,77.0,155.0,10890,53.0
18,24487.0,1131.0,22615.0,861.0,"DeKalb County, Illinois",037,17,49094.0,1723.0,13.0,2153.0,0.0,3889.0,20.0,0.0,4.0,0.0,24.0,826.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,1501.0,1240.0,45.0,1113.0,12.0,2410.0,329.0,2.0,499.0,0.0,830.0,2612.0,101.0,2627.0,18.0,5358.0,57748.0,87701.0,7187.0,66.0,2584.0,0.0,4134.0,2786.0,11166.0,104458,2584.0
19,4237.0,342.0,3716.0,196.0,"De Witt County, Illinois",039,17,8491.0,7.0,0.0,0.0,0.0,7.0,5.0,0.0,7.0,0.0,12.0,0.0,0.0,3.0,0.0,6.0,0.0,3.0,0.0,12.0,56.0,0.0,42.0,0.0,98.0,92.0,0.0,71.0,0.0,163.0,123.0,0.0,49.0,0.0,172.0,8783.0,15686.0,55.0,12.0,8.0,9.0,192.0,360.0,393.0,16322,17.0
20,4875.0,287.0,4058.0,301.0,"Douglas County, Illinois",041,17,9521.0,0.0,0.0,19.0,0.0,19.0,3.0,0.0,2.0,0.0,5.0,34.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,90.0,99.0,0.0,41.0,0.0,140.0,42.0,0.0,62.0,0.0,104.0,432.0,15.0,281.0,17.0,745.0,9879.0,19096.0,58.0,55.0,135.0,0.0,150.0,276.0,1399.0,19770,135.0
21,207857.0,12730.0,180590.0,10715.0,"DuPage County, Illinois",043,17,411892.0,11059.0,429.0,12402.0,317.0,24207.0,695.0,10.0,470.0,0.0,1175.0,28259.0,1690.0,23820.0,1364.0,97.0,7.0,57.0,0.0,55294.0,7288.0,154.0,5479.0,25.0,12946.0,4501.0,159.0,4124.0,66.0,8850.0,38185.0,731.0,28681.0,495.0,68092.0,514364.0,734032.0,43791.0,1972.0,103084.0,336.0,23796.0,23503.0,129964.0,930514,103420.0
22,4201.0,388.0,3630.0,276.0,"Edgar County, Illinois",045,17,8495.0,7.0,0.0,12.0,0.0,19.0,0.0,0.0,15.0,0.0,15.0,15.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,8.0,0.0,30.0,25.0,6.0,28.0,0.0,59.0,8603.0,17479.0,80.0,20.0,76.0,0.0,1.0,172.0,198.0,17828,76.0
23,1660.0,83.0,1401.0,94.0,"Edwards County, Illinois",047,17,3238.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,13.0,0.0,0.0,0.0,13.0,3303.0,6442.0,25.0,0.0,60.0,0.0,0.0,85.0,61.0,6612,60.0
24,8899.0,479.0,7847.0,453.0,"Effingham County, Illinois",049,17,17678.0,21.0,16.0,25.0,0.0,62.0,17.0,0.0,3.0,4.0,24.0,44.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,74.0,113.0,0.0,22.0,0.0,135.0,76.0,0.0,23.0,0.0,99.0,230.0,5.0,108.0,4.0,347.0,18072.0,33551.0,151.0,25.0,205.0,11.0,172.0,241.0,648.0,34356,216.0
25,4815.0,304.0,4166.0,222.0,"Fayette County, Illinois",051,17,9507.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,31.0,0.0,44.0,62.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,105.0,0.0,129.0,0.0,0.0,63.0,0.0,63.0,9752.0,20590.0,985.0,44.0,108.0,0.0,69.0,229.0,461.0,22025,108.0
26,3247.0,187.0,2973.0,160.0,"Ford County, Illinois",053,17,6567.0,4.0,0.0,30.0,0.0,34.0,18.0,1.0,34.0,0.0,53.0,8.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,27.0,22.0,0.0,0.0,0.0,22.0,24.0,4.0,0.0,0.0,28.0,115.0,0.0,80.0,0.0,195.0,6731.0,13403.0,115.0,54.0,57.0,3.0,25.0,101.0,394.0,13758,60.0
27,8568.0,395.0,7490.0,451.0,"Franklin County, Illinois",055,17,16904.0,17.0,0.0,58.0,0.0,75.0,36.0,0.0,32.0,0.0,68.0,0.0,0.0,139.0,0.0,2.0,0.0,14.0,0.0,155.0,20.0,0.0,12.0,0.0,32.0,14.0,0.0,84.0,12.0,110.0,61.0,0.0,130.0,0.0,191.0,17344.0,38420.0,241.0,123.0,222.0,28.0,75.0,394.0,603.0,39503,250.0
28,8087.0,464.0,7298.0,437.0,"Fulton County, Illinois",057,17,16286.0,40.0,0.0,35.0,0.0,75.0,2.0,0.0,29.0,0.0,31.0,28.0,0.0,20.0,0.0,19.0,0.0,0.0,0.0,67.0,43.0,0.0,20.0,0.0,63.0,72.0,0.0,10.0,0.0,82.0,333.0,0.0,87.0,0.0,420.0,16604.0,34017.0,1291.0,54.0,72.0,32.0,141.0,440.0,982.0,36047,104.0
